ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
KHC,Kraft Heinz,2024Q4,2024-10-30,1,38,0.8126077320856931,0.27330290528082535,65.78947368421053,0.09433159481514253
ALGN,Align Technology,2024Q4,2024-10-23,1,42,0.9647779479326187,0.26852199683449735,61.904761904761905,-0.11333433847909824
PLD,Prologis,2025Q1,2025-01-21,0,41,1.0026095316577393,0.26263495055834835,65.85365853658537,-0.082708526828845
HON,Honeywell,2024Q4,2024-10-24,1,42,1.0050251256281406,0.259761740446768,66.66666666666666,0.4408227909977904
BA,Boeing,2025Q1,2025-01-28,0,31,0.8925823330255463,0.25743257964870925,58.06451612903226,-0.12833816906650386
RF,Regions Financial Corporation,2025Q1,2025-01-17,0,43,1.165934437309902,0.2382577319034556,58.139534883720934,0.012429557096947264
BIIB,Biogen,2024Q4,2024-10-30,1,42,1.142513529765484,0.23355187410408582,59.523809523809526,0.012570026940625256
FCX,Freeport-McMoRan,2025Q1,2025-01-23,0,42,0.8105187319884726,0.23242629213267696,61.904761904761905,-0.09408653116942223
PEG,Public Service Enterprise Group,2024Q4,2024-11-04,1,42,1.068006910632951,0.23055836631128204,54.761904761904766,0.22630578836478799
ACN,Accenture,2024Q4,2024-12-19,1,41,0.8392141903490368,0.22848259749327376,63.41463414634146,0.28891702988238477
RMD,ResMed,2024Q4,2024-10-24,1,42,0.7038365995031741,0.2164460698249366,54.761904761904766,0.20591128829985467
FITB,Fifth Third Bancorp,2025Q1,2025-01-21,0,43,1.0004920452681647,0.21278071135337234,60.46511627906976,0.19041103716735464
VTR,Ventas,2024Q4,2024-10-31,1,42,0.975609756097561,0.21234148379179735,54.761904761904766,0.17992916502055034
BG,Bunge Global,2024Q4,2024-10-30,1,42,1.2687427912341407,0.2044772657441963,66.66666666666666,0.14444547705550237
SYK,Stryker Corporation,2025Q1,2025-01-28,0,43,0.9312143034517011,0.20126385030801752,60.46511627906976,0.25040522599733506
MCHP,Microchip Technology,2024Q3,2024-08-01,2,42,0.9220284626177591,0.19721204157494326,54.761904761904766,-0.05351784331356246
NOC,Northrop Grumman,2025Q1,2025-01-30,0,43,0.9562841530054645,0.18061970241506112,58.139534883720934,-0.16920824992081573
CBRE,CBRE Group,2024Q4,2024-10-24,1,42,0.9554831704668839,0.17780754532636203,66.66666666666666,0.2271367137739705
PPG,PPG Industries,2025Q1,2025-01-31,0,43,0.8632502055357631,0.17492978223321828,58.139534883720934,0.06971823967261004
BLDR,Builders FirstSource,2024Q4,2024-11-05,1,40,1.01135833203672,0.17226601279957085,55.00000000000001,0.13358423465348068
EMN,Eastman Chemical Company,2025Q1,2025-01-31,0,43,0.7705986959098993,0.16951124789816743,65.11627906976744,0.10393202924323253
HBAN,Huntington Bancshares,2025Q1,2025-01-17,0,43,1.00837463681422,0.16703850694845412,65.11627906976744,0.03125969724106492
ORLY,O'Reilly Auto Parts,2024Q4,2024-10-24,1,42,0.8938981733385153,0.16377291069537164,59.523809523809526,0.14877016416770905
FE,FirstEnergy,2024Q4,2024-10-30,1,42,0.9916492693110648,0.16294526729296632,66.66666666666666,-0.09388320308272147
TAP,Molson Coors Beverage Company,2024Q4,2024-11-07,1,42,0.809476801579467,0.15496194409443087,59.523809523809526,-0.12058272223005684
TFC,Truist Financial,2025Q1,2025-01-17,0,41,1.1023622047244095,0.14467463051574456,53.65853658536586,0.14533461981166795
ABBV,AbbVie,2025Q1,2025-01-31,0,42,1.0368349249658937,0.14287799563191692,57.14285714285714,-0.5627134378493115
CI,Cigna,2025Q1,2025-01-30,0,38,0.8682855040470936,0.13726358799670504,52.63157894736842,0.18970912958372288
